combined_rank,param_id,long_param_id,short_param_id,long_analysis_rank,short_analysis_rank,long_shortlist_priority,short_shortlist_priority,long_shortlist_role,short_shortlist_role,pair_family,long_source_symbol,long_side,long_sma,long_ema,long_fib_floor,long_fib_band,long_rw,long_eb,long_rw_lookback,long_confirm_enabled,long_confirm_mode,long_confirm_ema_period,long_confirm_min_distance,long_shortlist_rationale,short_source_symbol,short_side,short_sma,short_ema,short_fib_floor,short_fib_band,short_rw,short_eb,short_rw_lookback,short_confirm_enabled,short_confirm_mode,short_confirm_ema_period,short_confirm_min_distance,short_shortlist_rationale
1,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_061_DOGE_USDT,cand_002_AVAX_USDT__4h_ema15_dist0.008,short_cand_061_DOGE_USDT,1,1,1,1,primary,primary,AVAX/USDT + DOGE/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,"Best overall balance: strongest expectancy, tightest drawdown, best consistency, and still healthy trade count.",DOGE/USDT,short,80,20,0.236,0.686,0.05,0.028,10,False,disabled,20,0.0,"Best overall short candidate after deduplication, balancing expectancy, drawdown control, and consistency."
2,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_062_DOGE_USDT,cand_002_AVAX_USDT__4h_ema15_dist0.008,short_cand_062_DOGE_USDT,1,2,1,2,primary,secondary,AVAX/USDT + DOGE/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,"Best overall balance: strongest expectancy, tightest drawdown, best consistency, and still healthy trade count.",DOGE/USDT,short,75,20,0.236,0.686,0.05,0.028,10,False,disabled,20,0.0,Closest clean alternate to the primary short candidate with a very similar edge profile.
3,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_070_DOGE_USDT,cand_002_AVAX_USDT__4h_ema15_dist0.008,short_cand_070_DOGE_USDT,1,3,1,3,primary,throughput_variant,AVAX/USDT + DOGE/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,"Best overall balance: strongest expectancy, tightest drawdown, best consistency, and still healthy trade count.",DOGE/USDT,short,80,20,0.236,0.686,0.044,0.028,10,False,disabled,20,0.0,Short candidate with especially strong trailing-drawdown control for the short side.
4,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_076_ETH_USDT,cand_002_AVAX_USDT__4h_ema15_dist0.008,short_cand_076_ETH_USDT,1,4,1,4,primary,alternate_base,AVAX/USDT + ETH/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,"Best overall balance: strongest expectancy, tightest drawdown, best consistency, and still healthy trade count.",ETH/USDT,short,75,20,0.236,0.536,0.011,0.023,8,False,disabled,20,0.0,Short candidate with a relatively comfortable consistency profile under Maven rules.
5,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_075_DOGE_USDT,cand_002_AVAX_USDT__4h_ema15_dist0.008,short_cand_075_DOGE_USDT,1,5,1,5,primary,reserve,AVAX/USDT + DOGE/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,"Best overall balance: strongest expectancy, tightest drawdown, best consistency, and still healthy trade count.",DOGE/USDT,short,80,20,0.236,0.636,0.041,0.028,10,False,disabled,20,0.0,Short candidate with especially strong trailing-drawdown control for the short side.
6,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_061_DOGE_USDT,cand_002_AVAX_USDT__4h_ema20_dist0.008,short_cand_061_DOGE_USDT,2,1,2,1,secondary,primary,AVAX/USDT + DOGE/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,20,0.008,Very close to the leader with slightly more trades and nearly identical risk profile.,DOGE/USDT,short,80,20,0.236,0.686,0.05,0.028,10,False,disabled,20,0.0,"Best overall short candidate after deduplication, balancing expectancy, drawdown control, and consistency."
7,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_062_DOGE_USDT,cand_002_AVAX_USDT__4h_ema20_dist0.008,short_cand_062_DOGE_USDT,2,2,2,2,secondary,secondary,AVAX/USDT + DOGE/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,20,0.008,Very close to the leader with slightly more trades and nearly identical risk profile.,DOGE/USDT,short,75,20,0.236,0.686,0.05,0.028,10,False,disabled,20,0.0,Closest clean alternate to the primary short candidate with a very similar edge profile.
8,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_070_DOGE_USDT,cand_002_AVAX_USDT__4h_ema20_dist0.008,short_cand_070_DOGE_USDT,2,3,2,3,secondary,throughput_variant,AVAX/USDT + DOGE/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,20,0.008,Very close to the leader with slightly more trades and nearly identical risk profile.,DOGE/USDT,short,80,20,0.236,0.686,0.044,0.028,10,False,disabled,20,0.0,Short candidate with especially strong trailing-drawdown control for the short side.
9,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_076_ETH_USDT,cand_002_AVAX_USDT__4h_ema20_dist0.008,short_cand_076_ETH_USDT,2,4,2,4,secondary,alternate_base,AVAX/USDT + ETH/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,20,0.008,Very close to the leader with slightly more trades and nearly identical risk profile.,ETH/USDT,short,75,20,0.236,0.536,0.011,0.023,8,False,disabled,20,0.0,Short candidate with a relatively comfortable consistency profile under Maven rules.
10,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_075_DOGE_USDT,cand_002_AVAX_USDT__4h_ema20_dist0.008,short_cand_075_DOGE_USDT,2,5,2,5,secondary,reserve,AVAX/USDT + DOGE/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,20,0.008,Very close to the leader with slightly more trades and nearly identical risk profile.,DOGE/USDT,short,80,20,0.236,0.636,0.041,0.028,10,False,disabled,20,0.0,Short candidate with especially strong trailing-drawdown control for the short side.
11,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_061_DOGE_USDT,cand_002_AVAX_USDT__4h_ema15_dist0.000,short_cand_061_DOGE_USDT,3,1,3,1,throughput_variant,primary,AVAX/USDT + DOGE/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.0,Keeps the same strong AVAX base while allowing more trades at only a modest quality drop.,DOGE/USDT,short,80,20,0.236,0.686,0.05,0.028,10,False,disabled,20,0.0,"Best overall short candidate after deduplication, balancing expectancy, drawdown control, and consistency."
12,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_062_DOGE_USDT,cand_002_AVAX_USDT__4h_ema15_dist0.000,short_cand_062_DOGE_USDT,3,2,3,2,throughput_variant,secondary,AVAX/USDT + DOGE/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.0,Keeps the same strong AVAX base while allowing more trades at only a modest quality drop.,DOGE/USDT,short,75,20,0.236,0.686,0.05,0.028,10,False,disabled,20,0.0,Closest clean alternate to the primary short candidate with a very similar edge profile.
13,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_070_DOGE_USDT,cand_002_AVAX_USDT__4h_ema15_dist0.000,short_cand_070_DOGE_USDT,3,3,3,3,throughput_variant,throughput_variant,AVAX/USDT + DOGE/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.0,Keeps the same strong AVAX base while allowing more trades at only a modest quality drop.,DOGE/USDT,short,80,20,0.236,0.686,0.044,0.028,10,False,disabled,20,0.0,Short candidate with especially strong trailing-drawdown control for the short side.
14,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT,cand_002_AVAX_USDT__4h_ema15_dist0.000,short_cand_076_ETH_USDT,3,4,3,4,throughput_variant,alternate_base,AVAX/USDT + ETH/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.0,Keeps the same strong AVAX base while allowing more trades at only a modest quality drop.,ETH/USDT,short,75,20,0.236,0.536,0.011,0.023,8,False,disabled,20,0.0,Short candidate with a relatively comfortable consistency profile under Maven rules.
15,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_075_DOGE_USDT,cand_002_AVAX_USDT__4h_ema15_dist0.000,short_cand_075_DOGE_USDT,3,5,3,5,throughput_variant,reserve,AVAX/USDT + DOGE/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.0,Keeps the same strong AVAX base while allowing more trades at only a modest quality drop.,DOGE/USDT,short,80,20,0.236,0.636,0.041,0.028,10,False,disabled,20,0.0,Short candidate with especially strong trailing-drawdown control for the short side.
16,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_061_DOGE_USDT,cand_008_AVAX_USDT__4h_ema15_dist0.008,short_cand_061_DOGE_USDT,4,1,4,1,alternate_base,primary,AVAX/USDT + DOGE/USDT,AVAX/USDT,long,30,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,"Best non-cand_002 AVAX branch, useful as an alternate daily base rather than another threshold clone.",DOGE/USDT,short,80,20,0.236,0.686,0.05,0.028,10,False,disabled,20,0.0,"Best overall short candidate after deduplication, balancing expectancy, drawdown control, and consistency."
17,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_062_DOGE_USDT,cand_008_AVAX_USDT__4h_ema15_dist0.008,short_cand_062_DOGE_USDT,4,2,4,2,alternate_base,secondary,AVAX/USDT + DOGE/USDT,AVAX/USDT,long,30,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,"Best non-cand_002 AVAX branch, useful as an alternate daily base rather than another threshold clone.",DOGE/USDT,short,75,20,0.236,0.686,0.05,0.028,10,False,disabled,20,0.0,Closest clean alternate to the primary short candidate with a very similar edge profile.
18,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_070_DOGE_USDT,cand_008_AVAX_USDT__4h_ema15_dist0.008,short_cand_070_DOGE_USDT,4,3,4,3,alternate_base,throughput_variant,AVAX/USDT + DOGE/USDT,AVAX/USDT,long,30,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,"Best non-cand_002 AVAX branch, useful as an alternate daily base rather than another threshold clone.",DOGE/USDT,short,80,20,0.236,0.686,0.044,0.028,10,False,disabled,20,0.0,Short candidate with especially strong trailing-drawdown control for the short side.
19,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_076_ETH_USDT,cand_008_AVAX_USDT__4h_ema15_dist0.008,short_cand_076_ETH_USDT,4,4,4,4,alternate_base,alternate_base,AVAX/USDT + ETH/USDT,AVAX/USDT,long,30,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,"Best non-cand_002 AVAX branch, useful as an alternate daily base rather than another threshold clone.",ETH/USDT,short,75,20,0.236,0.536,0.011,0.023,8,False,disabled,20,0.0,Short candidate with a relatively comfortable consistency profile under Maven rules.
20,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_075_DOGE_USDT,cand_008_AVAX_USDT__4h_ema15_dist0.008,short_cand_075_DOGE_USDT,4,5,4,5,alternate_base,reserve,AVAX/USDT + DOGE/USDT,AVAX/USDT,long,30,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,"Best non-cand_002 AVAX branch, useful as an alternate daily base rather than another threshold clone.",DOGE/USDT,short,80,20,0.236,0.636,0.041,0.028,10,False,disabled,20,0.0,Short candidate with especially strong trailing-drawdown control for the short side.
21,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_061_DOGE_USDT,cand_028_ETH_USDT__4h_ema15_dist0.000,short_cand_061_DOGE_USDT,19,1,5,1,diversifier,primary,ETH/USDT + DOGE/USDT,ETH/USDT,long,30,20,0.236,0.436,0.005,0.053,25,True,close_above_ema,15,0.0,Best ETH-based survivor and the cleanest way to keep some source-family diversification in the final set.,DOGE/USDT,short,80,20,0.236,0.686,0.05,0.028,10,False,disabled,20,0.0,"Best overall short candidate after deduplication, balancing expectancy, drawdown control, and consistency."
22,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_062_DOGE_USDT,cand_028_ETH_USDT__4h_ema15_dist0.000,short_cand_062_DOGE_USDT,19,2,5,2,diversifier,secondary,ETH/USDT + DOGE/USDT,ETH/USDT,long,30,20,0.236,0.436,0.005,0.053,25,True,close_above_ema,15,0.0,Best ETH-based survivor and the cleanest way to keep some source-family diversification in the final set.,DOGE/USDT,short,75,20,0.236,0.686,0.05,0.028,10,False,disabled,20,0.0,Closest clean alternate to the primary short candidate with a very similar edge profile.
23,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_070_DOGE_USDT,cand_028_ETH_USDT__4h_ema15_dist0.000,short_cand_070_DOGE_USDT,19,3,5,3,diversifier,throughput_variant,ETH/USDT + DOGE/USDT,ETH/USDT,long,30,20,0.236,0.436,0.005,0.053,25,True,close_above_ema,15,0.0,Best ETH-based survivor and the cleanest way to keep some source-family diversification in the final set.,DOGE/USDT,short,80,20,0.236,0.686,0.044,0.028,10,False,disabled,20,0.0,Short candidate with especially strong trailing-drawdown control for the short side.
24,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT,cand_028_ETH_USDT__4h_ema15_dist0.000,short_cand_076_ETH_USDT,19,4,5,4,diversifier,alternate_base,ETH/USDT + ETH/USDT,ETH/USDT,long,30,20,0.236,0.436,0.005,0.053,25,True,close_above_ema,15,0.0,Best ETH-based survivor and the cleanest way to keep some source-family diversification in the final set.,ETH/USDT,short,75,20,0.236,0.536,0.011,0.023,8,False,disabled,20,0.0,Short candidate with a relatively comfortable consistency profile under Maven rules.
25,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_075_DOGE_USDT,cand_028_ETH_USDT__4h_ema15_dist0.000,short_cand_075_DOGE_USDT,19,5,5,5,diversifier,reserve,ETH/USDT + DOGE/USDT,ETH/USDT,long,30,20,0.236,0.436,0.005,0.053,25,True,close_above_ema,15,0.0,Best ETH-based survivor and the cleanest way to keep some source-family diversification in the final set.,DOGE/USDT,short,80,20,0.236,0.636,0.041,0.028,10,False,disabled,20,0.0,Short candidate with especially strong trailing-drawdown control for the short side.
