analysis_rank,rank,param_id,pair_family,long_param_id,long_source_symbol,long_sma,long_ema,long_fib_floor,long_fib_band,long_rw,long_eb,long_rw_lookback,long_confirm_enabled,long_confirm_mode,long_confirm_ema_period,long_confirm_min_distance,short_param_id,short_source_symbol,short_sma,short_ema,short_fib_floor,short_fib_band,short_rw,short_eb,short_rw_lookback,short_confirm_enabled,short_confirm_mode,short_confirm_ema_period,short_confirm_min_distance,data_mode_used,total_trades,closed_positions,win_rate,expectancy,total_profit,total_return,ending_equity,peak_equity,max_dd_dollars,max_dd_pct,breached,consistency_score,overall_survival,max_concurrent_observed,signal_conflicts,long_total_trades,short_total_trades,long_closed_positions,short_closed_positions,long_total_profit,short_total_profit,combined_rank,long_analysis_rank,short_analysis_rank,long_shortlist_priority,short_shortlist_priority,long_shortlist_role,short_shortlist_role,long_side,long_shortlist_rationale,short_side,short_shortlist_rationale,score_expectancy,score_win_rate,score_drawdown,score_consistency,composite_score,drawdown_headroom_pct_pts,consistency_headroom_pct_pts,win_rate_sig,expectancy_sig,max_dd_pct_sig,consistency_sig,metric_duplicate_count,pair_label,pair_cluster_size,long_profit_share_pct,short_profit_share_pct,best_expectancy_flag,best_win_rate_flag,best_drawdown_flag,best_consistency_flag,ai_note
1,1,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,AVAX/USDT + ETH/USDT,cand_002_AVAX_USDT__4h_ema15_dist0.008,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,short_cand_088_ETH_USDT__4h_ema20_dist0.000,ETH/USDT,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,20,0.0,"1D, 4H->1D",124,79,0.6290322580645161,2.8093317976574874,348.3571429095284,0.0696714285819056,5348.35714290955,5357.900842702821,95.82613143602248,1.7908575343398767,False,3.3490533793063677,True,4,0,41,83,28,51,53.33333333333336,295.0238095761951,1,1,1,1,1,primary,primary,long,"Best overall balance: strongest expectancy, tightest drawdown, best consistency, and still healthy trade count.",short,"Best overall short candidate after deduplication, balancing expectancy, drawdown control, and consistency.",1.0,1.0,0.3415535291271231,0.978397107678264,86.39901273610775,1.2091424656601233,16.65094662069363,0.629032,2.809332,1.790858,3.349053,1,AVAX/USDT + ETH/USDT,16,15.309958305400535,84.69004169459947,True,True,False,False,Best overall balance in the combined survivor pool. Highest expectancy among the combined survivors. Highest win rate among the combined survivors. Portfolio profit is heavily short-dominated.
2,11,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema20_dist0.000,AVAX/USDT + ETH/USDT,cand_002_AVAX_USDT__4h_ema15_dist0.000,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.0,short_cand_088_ETH_USDT__4h_ema20_dist0.000,ETH/USDT,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,20,0.0,"1D, 4H->1D",131,84,0.6259541984732825,2.710105416612176,355.02380957619505,0.071004761915239,5355.023809576218,5364.567509369489,95.82613143602248,1.788629067849372,False,3.2861645760022693,True,4,0,48,83,33,51,59.99999999999999,295.0238095761951,11,3,1,3,1,throughput_variant,primary,long,Keeps the same strong AVAX base while allowing more trades at only a modest quality drop.,short,"Best overall short candidate after deduplication, balancing expectancy, drawdown control, and consistency.",0.9039758842217466,0.9302448012634915,0.34502306370984204,1.0,81.79573725354525,1.211370932150628,16.71383542399773,0.625954,2.710105,1.788629,3.286165,1,AVAX/USDT + ETH/USDT,16,16.90027496229737,83.09972503770264,False,False,False,True,Safest consistency profile in the pair set. Portfolio profit is heavily short-dominated.
3,3,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema15_dist0.000,AVAX/USDT + ETH/USDT,cand_002_AVAX_USDT__4h_ema15_dist0.008,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,short_cand_088_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,15,0.0,"1D, 4H->1D",112,72,0.625,2.779529070266362,311.30725586983255,0.0622614511739665,5311.307255869852,5322.909321446943,93.9462223030814,1.775712138981094,False,3.747637244775585,True,4,0,41,71,28,44,53.33333333333336,257.97392253649906,3,1,3,1,3,primary,throughput_variant,long,"Best overall balance: strongest expectancy, tightest drawdown, best consistency, and still healthy trade count.",short,Short candidate with especially strong trailing-drawdown control for the short side.,0.9711590756876812,0.9086206896551725,0.36513363373724217,0.8414798207444285,80.83835398008156,1.224287861018906,16.252362755224414,0.625,2.779529,1.775712,3.747637,1,AVAX/USDT + ETH/USDT,16,17.13205597611696,82.867944023883,False,False,False,False,Portfolio profit is heavily short-dominated.
4,13,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000,AVAX/USDT + ETH/USDT,cand_002_AVAX_USDT__4h_ema15_dist0.000,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.0,short_cand_088_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,15,0.0,"1D, 4H->1D",119,77,0.6218487394957983,2.672049769214279,317.9739225364992,0.0635947845072998,5317.97392253652,5329.575988113611,93.9462223030814,1.7734773956974388,False,3.669063982857744,True,4,0,48,71,33,44,59.99999999999999,257.97392253649906,13,3,3,3,3,throughput_variant,throughput_variant,long,Keeps the same strong AVAX base while allowing more trades at only a modest quality drop.,short,Short candidate with especially strong trailing-drawdown control for the short side.,0.8671483807568834,0.8372066067806437,0.36861294075809137,0.8684704713435639,76.02202673804011,1.2265226043025612,16.330936017142257,0.621849,2.67205,1.773477,3.669064,1,AVAX/USDT + ETH/USDT,16,18.86947191183981,81.13052808816015,False,False,False,False,Portfolio profit is heavily short-dominated.
5,4,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,AVAX/USDT + ETH/USDT,cand_002_AVAX_USDT__4h_ema15_dist0.008,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,short_cand_076_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,75,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,15,0.0,"1D, 4H->1D",104,68,0.625,2.715186876420256,282.3794351477066,0.0564758870295413,5282.379435147725,5301.521319677801,93.9462223030814,1.7768316239396895,False,4.131556768843344,True,4,0,41,63,28,40,53.33333333333336,229.0461018143732,4,1,4,1,4,primary,alternate_base,long,"Best overall balance: strongest expectancy, tightest drawdown, best consistency, and still healthy trade count.",short,Short candidate with especially strong trailing-drawdown control for the short side.,0.9088933535458653,0.9086206896551725,0.3633906899706517,0.70959987228137,75.98659586052503,1.2231683760603105,15.868443231156656,0.625,2.715187,1.776832,4.131557,1,AVAX/USDT + ETH/USDT,16,18.88711665756957,81.11288334243042,False,False,False,False,Portfolio profit is heavily short-dominated.
6,6,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,AVAX/USDT + ETH/USDT,cand_002_AVAX_USDT__4h_ema20_dist0.008,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,20,0.008,short_cand_088_ETH_USDT__4h_ema20_dist0.000,ETH/USDT,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,20,0.0,"1D, 4H->1D",129,83,0.6201550387596899,2.61000369180513,336.69047624286173,0.0673380952485723,5336.690476242884,5346.234176036155,95.82613143602248,1.794770741624464,False,3.465101477432723,True,4,0,45,84,31,52,51.6666666666667,285.023809576195,6,2,1,2,1,secondary,primary,long,Very close to the leader with slightly more trades and nearly identical risk profile.,short,"Best overall short candidate after deduplication, balancing expectancy, drawdown control, and consistency.",0.8071046740535026,0.7988238438920074,0.335460995063419,0.9385335002274522,73.6991495949902,1.205229258375536,16.53489852256728,0.620155,2.610004,1.794771,3.465101,1,AVAX/USDT + ETH/USDT,16,15.345449400059202,84.65455059994078,False,False,False,False,Portfolio profit is heavily short-dominated.
7,16,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,AVAX/USDT + ETH/USDT,cand_008_AVAX_USDT__4h_ema15_dist0.008,AVAX/USDT,30,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,short_cand_088_ETH_USDT__4h_ema20_dist0.000,ETH/USDT,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,20,0.0,"1D, 4H->1D",126,81,0.6190476190476191,2.606009070710543,328.3571429095284,0.0656714285819056,5328.35714290955,5341.329141775871,96.46339929724128,1.805981184398035,False,3.553041838313584,True,4,0,43,83,30,51,33.33333333333334,295.0238095761951,16,4,1,4,1,alternate_base,primary,long,"Best non-cand_002 AVAX branch, useful as an alternate daily base rather than another threshold clone.",short,"Best overall short candidate after deduplication, balancing expectancy, drawdown control, and consistency.",0.8032389686389143,0.7737274220032847,0.31800728011808665,0.9083251634960703,71.98319832472725,1.194018815601965,16.446958161686418,0.619048,2.606009,1.805981,3.553042,1,AVAX/USDT + ETH/USDT,16,10.151548109467383,89.84845189053262,False,False,False,False,Portfolio profit is heavily short-dominated.
8,14,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,AVAX/USDT + ETH/USDT,cand_002_AVAX_USDT__4h_ema15_dist0.000,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.0,short_cand_076_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,75,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,15,0.0,"1D, 4H->1D",111,73,0.6216216216216216,2.604018935264624,289.04610181437323,0.0578092203628746,5289.046101814393,5308.187986344469,93.9462223030814,1.7745940637874422,False,4.036265008742122,True,4,0,48,63,33,40,59.99999999999999,229.0461018143732,14,3,4,3,4,throughput_variant,alternate_base,long,Keeps the same strong AVAX base while allowing more trades at only a modest quality drop.,short,Short candidate with especially strong trailing-drawdown control for the short side.,0.8013130594758453,0.8320596458527489,0.3668743826185844,0.7423334834245359,71.03160554883571,1.2254059362125578,15.963734991257878,0.621622,2.604019,1.774594,4.036265,1,AVAX/USDT + ETH/USDT,16,20.757934330673752,79.24206566932624,False,False,False,False,Balanced pair survivor with no obvious structural warning.
9,21,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema20_dist0.000,ETH/USDT + ETH/USDT,cand_028_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,30,20,0.236,0.436,0.005,0.053,25,True,close_above_ema,15,0.0,short_cand_088_ETH_USDT__4h_ema20_dist0.000,ETH/USDT,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,20,0.0,"1D, 4H->1D",119,77,0.6134453781512605,2.579622082372245,306.9750278022972,0.0613950055604594,5306.975027802318,5315.656790221579,86.93391065957894,1.6590867594216163,False,3.80052630019808,True,4,0,42,77,29,48,50.331446189441245,256.64358161285577,21,19,1,5,1,diversifier,primary,long,Best ETH-based survivor and the cleanest way to keep some source-family diversification in the final set.,short,"Best overall short candidate after deduplication, balancing expectancy, drawdown control, and consistency.",0.7777035495644335,0.6467690524485668,0.5467095243007452,0.8233119353775269,70.78927973953478,1.3409132405783837,16.19947369980192,0.613445,2.579622,1.659087,3.800526,1,ETH/USDT + ETH/USDT,4,16.39594156885507,83.60405843114488,False,False,False,False,Portfolio profit is heavily short-dominated.
10,8,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_088_ETH_USDT__4h_ema15_dist0.000,AVAX/USDT + ETH/USDT,cand_002_AVAX_USDT__4h_ema20_dist0.008,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,20,0.008,short_cand_088_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,15,0.0,"1D, 4H->1D",117,76,0.6153846153846154,2.561030676950136,299.64058920316586,0.0599281178406331,5299.640589203186,5311.242654780277,93.9462223030814,1.77963652158321,False,3.893553506116056,True,4,0,45,72,31,45,51.6666666666667,247.97392253649903,8,2,3,2,3,secondary,throughput_variant,long,Very close to the leader with slightly more trades and nearly identical risk profile.,short,Short candidate with especially strong trailing-drawdown control for the short side.,0.7597121318796767,0.6907161803713537,0.3590237006456398,0.7913562197834438,66.8654275336542,1.22036347841679,16.106446493883944,0.615385,2.561031,1.779637,3.893554,1,AVAX/USDT + ETH/USDT,16,17.24287981279968,82.75712018720029,False,False,False,False,Portfolio profit is heavily short-dominated.
11,18,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema15_dist0.000,AVAX/USDT + ETH/USDT,cand_008_AVAX_USDT__4h_ema15_dist0.008,AVAX/USDT,30,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,short_cand_088_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,15,0.0,"1D, 4H->1D",114,74,0.6140350877192983,2.555326805875724,291.30725586983255,0.0582614511739665,5291.307255869852,5303.354101534005,93.9462223030814,1.775712138981094,False,4.004935143764421,True,4,0,43,71,30,44,33.33333333333334,257.97392253649906,18,4,3,4,3,alternate_base,throughput_variant,long,"Best non-cand_002 AVAX branch, useful as an alternate daily base rather than another threshold clone.",short,Short candidate with especially strong trailing-drawdown control for the short side.,0.7541923379431884,0.660133091349063,0.36513363373724217,0.7530955851661616,65.26464348980625,1.224287861018906,15.99506485623558,0.614035,2.555327,1.775712,4.004935,1,AVAX/USDT + ETH/USDT,16,11.44267183932692,88.55732816067302,False,False,False,False,Portfolio profit is heavily short-dominated.
