analysis_rank,rank,param_id,pair_family,long_param_id,long_source_symbol,long_sma,long_ema,long_fib_floor,long_fib_band,long_rw,long_eb,long_rw_lookback,long_confirm_enabled,long_confirm_mode,long_confirm_ema_period,long_confirm_min_distance,short_param_id,short_source_symbol,short_sma,short_ema,short_fib_floor,short_fib_band,short_rw,short_eb,short_rw_lookback,short_confirm_enabled,short_confirm_mode,short_confirm_ema_period,short_confirm_min_distance,data_mode_used,total_trades,closed_positions,win_rate,expectancy,total_profit,total_return,ending_equity,peak_equity,max_dd_dollars,max_dd_pct,breached,consistency_score,overall_survival,max_concurrent_observed,signal_conflicts,long_total_trades,short_total_trades,long_closed_positions,short_closed_positions,long_total_profit,short_total_profit,combined_rank,long_analysis_rank,short_analysis_rank,long_shortlist_priority,short_shortlist_priority,long_shortlist_role,short_shortlist_role,long_side,long_shortlist_rationale,short_side,short_shortlist_rationale,score_expectancy,score_win_rate,score_drawdown,score_consistency,composite_score,drawdown_headroom_pct_pts,consistency_headroom_pct_pts,win_rate_sig,expectancy_sig,max_dd_pct_sig,consistency_sig,metric_duplicate_count,pair_label,pair_cluster_size,long_profit_share_pct,short_profit_share_pct,best_expectancy_flag,best_win_rate_flag,best_drawdown_flag,best_consistency_flag,ai_note
12,2,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,AVAX/USDT + ETH/USDT,cand_002_AVAX_USDT__4h_ema15_dist0.008,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,short_cand_082_ETH_USDT__4h_ema20_dist0.000,ETH/USDT,75,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,20,0.0,"1D, 4H->1D",110,73,0.6181818181818182,2.47444486064333,272.1889346707663,0.0544377869341532,5272.188934670786,5297.755383844343,93.9462223030814,1.7920840115277177,False,4.28623841038153,True,4,0,41,69,28,45,53.33333333333336,218.8556013374329,2,1,2,1,2,primary,secondary,long,"Best overall balance: strongest expectancy, tightest drawdown, best consistency, and still healthy trade count.",short,Closest clean alternate to the primary short candidate with a very similar edge profile.,0.6759206405221253,0.7541065830721001,0.33964400747343815,0.6564652812136941,62.43207276881952,1.2079159884722823,15.713761589618471,0.618182,2.474445,1.792084,4.286238,1,AVAX/USDT + ETH/USDT,16,19.594232733172706,80.40576726682728,False,False,False,False,Portfolio profit is heavily short-dominated.
13,9,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,AVAX/USDT + ETH/USDT,cand_002_AVAX_USDT__4h_ema20_dist0.008,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,20,0.008,short_cand_076_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,75,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,15,0.0,"1D, 4H->1D",109,72,0.6146788990825688,2.483603380559999,270.7127684810399,0.0541425536962079,5270.712768481059,5289.854653011135,93.9462223030814,1.7807609617739537,False,4.309610784939308,True,4,0,45,64,31,41,51.6666666666667,219.0461018143732,9,2,4,2,4,secondary,alternate_base,long,Very close to the leader with slightly more trades and nearly identical risk profile.,short,Short candidate with especially strong trailing-drawdown control for the short side.,0.6847835937768054,0.6747231888642832,0.35727304200006116,0.6484366518814824,60.949699381426136,1.2192390382260463,15.69038921506069,0.614679,2.483603,1.780761,4.309611,1,AVAX/USDT + ETH/USDT,16,19.085419190445503,80.9145808095545,False,False,False,False,Portfolio profit is heavily short-dominated.
14,12,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_082_ETH_USDT__4h_ema20_dist0.000,AVAX/USDT + ETH/USDT,cand_002_AVAX_USDT__4h_ema15_dist0.000,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.0,short_cand_082_ETH_USDT__4h_ema20_dist0.000,ETH/USDT,75,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,20,0.0,"1D, 4H->1D",117,78,0.6153846153846154,2.383381208012247,278.8556013374329,0.0557711202674865,5278.855601337454,5304.422050511011,93.9462223030814,1.7898078965075803,False,4.183766297220355,True,4,0,48,69,33,45,59.99999999999999,218.8556013374329,12,3,2,3,2,throughput_variant,secondary,long,Keeps the same strong AVAX base while allowing more trades at only a modest quality drop.,short,Closest clean alternate to the primary short candidate with a very similar edge profile.,0.5877958229955776,0.6907161803713537,0.34318772680251985,0.6916654108122378,58.53782106642422,1.2101921034924197,15.816233702779645,0.615385,2.383381,1.789808,4.183766,1,AVAX/USDT + ETH/USDT,16,21.51651238570467,78.48348761429531,False,False,False,False,Balanced pair survivor with no obvious structural warning.
15,7,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,AVAX/USDT + ETH/USDT,cand_002_AVAX_USDT__4h_ema20_dist0.008,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,20,0.008,short_cand_082_ETH_USDT__4h_ema20_dist0.000,ETH/USDT,75,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,20,0.0,"1D, 4H->1D",114,76,0.6140350877192983,2.3730023509131546,270.5222680040996,0.0541044536008199,5270.52226800412,5296.088717177677,93.9462223030814,1.7926539451192436,False,4.312645592077423,True,4,0,45,69,31,45,51.6666666666667,218.8556013374329,7,2,2,2,2,secondary,secondary,long,Very close to the leader with slightly more trades and nearly identical risk profile.,short,Closest clean alternate to the primary short candidate with a very similar edge profile.,0.5777519156674037,0.660133091349063,0.33875666888698064,0.647394167235926,56.44766105454383,1.2073460548807564,15.687354407922577,0.614035,2.373002,1.792654,4.312646,1,AVAX/USDT + ETH/USDT,16,19.098859050628587,80.90114094937141,False,False,False,False,Portfolio profit is heavily short-dominated.
16,25,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,ETH/USDT + DOGE/USDT,cand_028_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,30,20,0.236,0.436,0.005,0.053,25,True,close_above_ema,15,0.0,short_cand_067_DOGE_USDT__4h_ema20_dist0.004,DOGE/USDT,70,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,20,0.004,"1D, 4H->1D",98,64,0.6020408163265306,2.2984932330812398,225.25233684196144,0.0450504673683922,5225.252336841977,5243.046980751732,70.27823071876901,1.3679403213396668,False,5.179376529554978,True,4,0,51,47,35,29,63.66477952277455,161.58755731918689,25,19,5,5,5,diversifier,reserve,long,Best ETH-based survivor and the cleanest way to keep some source-family diversification in the final set.,short,Short candidate with especially strong trailing-drawdown control for the short side.,0.5056473797379905,0.388318085855032,1.0,0.34966398108966423,54.39889005899875,1.6320596786603332,14.820623470445021,0.602041,2.298493,1.36794,5.179377,1,ETH/USDT + DOGE/USDT,1,28.26375984167578,71.73624015832422,False,False,True,False,Tightest trailing-drawdown control in the pair set.
17,22,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_082_ETH_USDT__4h_ema20_dist0.000,ETH/USDT + ETH/USDT,cand_028_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,30,20,0.236,0.436,0.005,0.053,25,True,close_above_ema,15,0.0,short_cand_082_ETH_USDT__4h_ema20_dist0.000,ETH/USDT,75,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,20,0.0,"1D, 4H->1D",113,75,0.6017699115044248,2.2706863577044984,256.58755842060833,0.0513175116841216,5256.587558420628,5274.966455021937,86.93391065957894,1.665975512154574,False,4.546855949867303,True,4,0,48,65,33,42,55.33144618944122,201.25611223116707,22,19,2,5,2,diversifier,secondary,long,Best ETH-based survivor and the cleanest way to keep some source-family diversification in the final set.,short,Closest clean alternate to the primary short candidate with a very similar edge profile.,0.4787378966702934,0.38217882209337944,0.5359843166565492,0.5669407180662185,48.36879763025011,1.334024487845426,15.453144050132696,0.60177,2.270686,1.665976,4.546856,1,ETH/USDT + ETH/USDT,4,21.564352741819132,78.43564725818085,False,False,False,False,Balanced pair survivor with no obvious structural warning.
18,24,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,ETH/USDT + ETH/USDT,cand_028_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,30,20,0.236,0.436,0.005,0.053,25,True,close_above_ema,15,0.0,short_cand_076_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,75,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,15,0.0,"1D, 4H->1D",108,71,0.6018518518518519,2.3701798894132367,255.9794280566296,0.0511958856113259,5255.979428056648,5282.633589200459,95.6208893085759,1.815990277498486,False,4.557657916200083,True,4,0,47,61,32,39,65.33144618944122,190.6479818671883,24,19,4,5,4,diversifier,alternate_base,long,Best ETH-based survivor and the cleanest way to keep some source-family diversification in the final set.,short,Short candidate with especially strong trailing-drawdown control for the short side.,0.5750205415409602,0.38403575989782934,0.3024239654029516,0.5632301415678603,47.039695090795576,1.184009722501514,15.442342083799918,0.601852,2.37018,1.81599,4.557658,1,ETH/USDT + ETH/USDT,4,25.522147105894827,74.47785289410514,False,False,False,False,Balanced pair survivor with no obvious structural warning.
19,17,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,AVAX/USDT + ETH/USDT,cand_008_AVAX_USDT__4h_ema15_dist0.008,AVAX/USDT,30,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,short_cand_082_ETH_USDT__4h_ema20_dist0.000,ETH/USDT,75,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,20,0.0,"1D, 4H->1D",112,75,0.6071428571428571,2.25168691670327,252.18893467076623,0.0504377869341532,5252.188934670786,5277.755383844343,93.9462223030814,1.7920840115277177,False,4.626161208023482,True,4,0,43,69,30,45,33.33333333333334,218.8556013374329,17,4,2,4,2,alternate_base,secondary,long,"Best non-cand_002 AVAX branch, useful as an alternate daily base rather than another threshold clone.",short,Closest clean alternate to the primary short candidate with a very similar edge profile.,0.46035161166015137,0.5039408866995065,0.33964400747343815,0.5396986199106673,46.29768112327507,1.2079159884722823,15.373838791976517,0.607143,2.251687,1.792084,4.626161,1,AVAX/USDT + ETH/USDT,16,13.217603451495664,86.78239654850434,False,False,False,False,Portfolio profit is heavily short-dominated.
20,19,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,AVAX/USDT + ETH/USDT,cand_008_AVAX_USDT__4h_ema15_dist0.008,AVAX/USDT,30,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,short_cand_076_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,75,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,15,0.0,"1D, 4H->1D",107,71,0.6074766355140186,2.35868630979165,252.37943514770657,0.0504758870295413,5252.379435147725,5287.288960716414,104.08085333970212,1.9685107833712845,False,4.622669299437446,True,4,0,43,64,30,41,33.33333333333334,219.0461018143732,19,4,4,4,4,alternate_base,alternate_base,long,"Best non-cand_002 AVAX branch, useful as an alternate daily base rather than another threshold clone.",short,Short candidate with especially strong trailing-drawdown control for the short side.,0.5638978863693903,0.5115049951659677,0.0649623872485523,0.5408981231802193,44.64126111065328,1.0314892166287155,15.377330700562554,0.607477,2.358686,1.968511,4.622669,1,AVAX/USDT + ETH/USDT,16,13.207626569821274,86.79237343017871,False,False,False,False,Portfolio profit is heavily short-dominated.
21,23,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000,ETH/USDT + ETH/USDT,cand_028_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,30,20,0.236,0.436,0.005,0.053,25,True,close_above_ema,15,0.0,short_cand_088_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,15,0.0,"1D, 4H->1D",111,73,0.5945945945945946,2.3164569711418297,257.1267237967431,0.0514253447593486,5257.126723796762,5279.300255867126,92.7926386245872,1.7630366127181976,False,4.537321712187759,True,4,0,45,66,31,42,46.9981128561079,210.12861094063504,23,19,3,5,3,diversifier,throughput_variant,long,Best ETH-based survivor and the cleanest way to keep some source-family diversification in the final set.,short,Short candidate with especially strong trailing-drawdown control for the short side.,0.523031386341563,0.2195712954333655,0.38486836024565796,0.5702158179113384,42.89706447092877,1.2369633872818024,15.462678287812242,0.594595,2.316457,1.763037,4.537322,1,ETH/USDT + ETH/USDT,4,18.278190676617335,81.72180932338262,False,False,False,False,Portfolio profit is heavily short-dominated.
22,10,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,AVAX/USDT + DOGE/USDT,cand_002_AVAX_USDT__4h_ema20_dist0.008,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,20,0.008,short_cand_067_DOGE_USDT__4h_ema20_dist0.004,DOGE/USDT,70,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,20,0.004,"1D, 4H->1D",111,74,0.5945945945945946,1.9362242401127951,214.92089065252023,0.042984178130504,5214.920890652538,5246.380314085068,101.38290789647726,1.960075113109616,False,5.428353954446012,True,4,0,60,51,42,32,55.00000000000004,159.9208906525202,10,2,5,2,5,secondary,reserve,long,Very close to the leader with slightly more trades and nearly identical risk profile.,short,Short candidate with especially strong trailing-drawdown control for the short side.,0.15506964670761864,0.2195712954333655,0.07809601516083164,0.26413790621023336,17.76139844802209,1.039924886890384,14.571646045553987,0.594595,1.936224,1.960075,5.428354,1,AVAX/USDT + DOGE/USDT,4,25.59081149953121,74.4091885004688,False,False,False,False,Balanced pair survivor with no obvious structural warning.
23,15,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,AVAX/USDT + DOGE/USDT,cand_002_AVAX_USDT__4h_ema15_dist0.000,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.0,short_cand_067_DOGE_USDT__4h_ema20_dist0.004,DOGE/USDT,70,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,20,0.004,"1D, 4H->1D",114,76,0.5877192982456141,1.8132555349326749,206.71113098232493,0.0413422261964649,5206.711130982344,5254.713647418402,104.2016026013498,2.010235833136647,False,5.643946995609174,True,4,0,64,50,45,31,53.333333333333336,153.3777976489916,15,3,5,3,5,throughput_variant,reserve,long,Keeps the same strong AVAX base while allowing more trades at only a modest quality drop.,short,Short candidate with especially strong trailing-drawdown control for the short side.,0.03606942661568875,0.06376285541439962,0.0,0.19007967948516147,6.658094906612326,0.989764166863353,14.356053004390827,0.587719,1.813256,2.010236,5.643947,1,AVAX/USDT + DOGE/USDT,4,25.800900551356214,74.19909944864378,False,False,False,False,Balanced pair survivor with no obvious structural warning.
24,20,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,AVAX/USDT + DOGE/USDT,cand_008_AVAX_USDT__4h_ema15_dist0.008,AVAX/USDT,30,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,short_cand_067_DOGE_USDT__4h_ema20_dist0.004,DOGE/USDT,70,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,20,0.004,"1D, 4H->1D",106,71,0.5849056603773585,1.775983245149562,188.2542239858536,0.0376508447971707,5188.25422398587,5219.7136474184,101.38290789647726,1.966411345419816,False,6.19729343631799,True,4,0,55,51,39,32,28.33333333333335,159.9208906525202,20,4,5,4,5,alternate_base,reserve,long,"Best non-cand_002 AVAX branch, useful as an alternate daily base rather than another threshold clone.",short,Short candidate with especially strong trailing-drawdown control for the short side.,0.0,0.0,0.068231035266339,0.0,1.36462070532678,1.033588654580184,13.80270656368201,0.584906,1.775983,1.966411,6.197293,1,AVAX/USDT + DOGE/USDT,4,15.05056977391512,84.94943022608484,False,False,False,False,Portfolio profit is heavily short-dominated.
25,5,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,AVAX/USDT + DOGE/USDT,cand_002_AVAX_USDT__4h_ema15_dist0.008,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,short_cand_067_DOGE_USDT__4h_ema20_dist0.004,DOGE/USDT,70,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,20,0.004,"1D, 4H->1D",106,71,0.5849056603773585,1.7759832451495623,188.2542239858536,0.0376508447971707,5188.25422398587,5219.7136474184,101.38290789647726,1.970232786513688,False,6.19729343631799,True,4,0,54,52,38,33,38.333333333333385,149.92089065252023,5,1,5,1,5,primary,reserve,long,"Best overall balance: strongest expectancy, tightest drawdown, best consistency, and still healthy trade count.",short,Short candidate with especially strong trailing-drawdown control for the short side.,2.1487871095007734e-16,0.0,0.06228137343049567,0.0,1.245627468609921,1.029767213486312,13.80270656368201,0.584906,1.775983,1.970233,6.197293,1,AVAX/USDT + DOGE/USDT,4,20.362535576473412,79.6374644235266,False,False,False,False,Balanced pair survivor with no obvious structural warning.
