analysis_rank,combined_rank,param_id,long_param_id,short_param_id,long_analysis_rank,short_analysis_rank,long_shortlist_priority,short_shortlist_priority,long_shortlist_role,short_shortlist_role,pair_family,long_source_symbol,long_side,long_sma,long_ema,long_fib_floor,long_fib_band,long_rw,long_eb,long_rw_lookback,long_confirm_enabled,long_confirm_mode,long_confirm_ema_period,long_confirm_min_distance,long_shortlist_rationale,short_source_symbol,short_side,short_sma,short_ema,short_fib_floor,short_fib_band,short_rw,short_eb,short_rw_lookback,short_confirm_enabled,short_confirm_mode,short_confirm_ema_period,short_confirm_min_distance,short_shortlist_rationale,prior_analysis_rank,prior_validation_rank,prior_expectancy,prior_win_rate,prior_total_profit,prior_max_dd_pct,prior_consistency_score,prior_overall_survival,prior_composite_score,composite_score,friction_preset,active_pairs,watchlist_size,total_trades,closed_positions,win_rate,expectancy,total_profit,total_return,ending_equity,peak_equity,max_dd_dollars,max_dd_pct,breached,consistency_score,overall_survival,max_concurrent_observed,same_symbol_opposite_conflicts,same_pair_duplicate_blocks,stacked_same_side_entries,internal_pair_conflicts,entry_rejections,partial_fill_events,extra_latency_events,long_total_trades,short_total_trades,long_closed_positions,short_closed_positions,long_total_profit,short_total_profit,backtest_start,backtest_end,true_months_window,dynamic_symbol_count,activated_symbol_count,winning_positions,losing_positions,breakeven_positions,position_win_rate,avg_position_pnl,avg_winner_pnl,avg_loser_pnl,profit_factor,avg_holding_days,median_holding_days,best_position_pnl,worst_position_pnl,max_consecutive_position_wins,max_consecutive_position_losses,avg_support_pair_count,cagr,daily_sharpe,daily_sortino,calmar,months_traded,profitable_months,losing_months,monthly_win_rate,best_month_return_pct,worst_month_return_pct,stacking_profit_delta_vs_netted,friction_profit_delta_vs_reference,expectancy_score,drawdown_rule_score,consistency_penalty_score,survival_probability_proxy,drawdown_headroom_pct_pts,consistency_headroom_pct_pts
1,5,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,cand_002_AVAX_USDT__4h_ema15_dist0.008,short_cand_067_DOGE_USDT__4h_ema20_dist0.004,1,5,1,5,primary,reserve,AVAX/USDT + DOGE/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,"Best overall balance: strongest expectancy, tightest drawdown, best consistency, and still healthy trade count.",DOGE/USDT,short,70,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,20,0.004,Short candidate with especially strong trailing-drawdown control for the short side.,25,5,1.7759832451495623,0.5849056603773585,188.2542239858536,1.970232786513688,6.19729343631799,True,1.245627468609921,86.15304844123777,baseline,1,10,198,133,0.5505050505050505,1.1961989722926911,236.84739651395284,0.04736947930279057,5236.847396513953,5267.096906118605,91.96722373760531,1.7764425038349783,False,4.8422637554418415,True,4,0,77,0,0,2,12,10,103,95,70,63,115.90818659977327,120.93920991417846,2023-06-11 00:00,2026-03-31 08:00,34,1,10,67,66,0,0.5037593984962406,1.780807492586103,13.060568508442753,-9.66985899320777,1.371111607666537,10.464912280701753,7.0,17.999319397509726,-10.000000000000004,7,7,1.0,0.01663374296589537,0.9109683440308918,1.0701394520844696,0.9363513274415862,33,20,13,0.6060606060606061,1.2921499481886256,-0.7102570204757463,-118.17641306224226,0.0,1.0,0.4078524987216739,0.7578868122279079,0.8748608966424373,1.2235574961650217,15.157736244558158
2,20,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,cand_008_AVAX_USDT__4h_ema15_dist0.008,short_cand_067_DOGE_USDT__4h_ema20_dist0.004,4,5,4,5,alternate_base,reserve,AVAX/USDT + DOGE/USDT,AVAX/USDT,long,30,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,"Best non-cand_002 AVAX branch, useful as an alternate daily base rather than another threshold clone.",DOGE/USDT,short,70,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,20,0.004,Short candidate with especially strong trailing-drawdown control for the short side.,24,20,1.775983245149562,0.5849056603773585,188.2542239858536,1.966411345419816,6.19729343631799,True,1.36462070532678,80.07473778019593,baseline,1,10,198,135,0.5404040404040404,1.0026888372427456,198.53238977406363,0.039706477954812726,5198.532389774064,5233.181403832478,103.27415533310523,2.0278911718071755,False,5.776778111699862,True,4,0,84,0,0,3,9,14,111,87,76,59,104.79016307998451,93.74222669408056,2023-06-11 00:00,2026-03-31 08:00,34,1,10,64,71,0,0.4740740740740741,1.470610294622704,13.774076896159517,-9.619838472959774,1.2906733673073736,10.525925925925925,7.0,17.999319397509726,-10.000000000000004,7,8,1.0,0.013976191004516636,0.7780384998157235,0.9007111618267712,0.6891982764568975,33,21,12,0.6363636363636364,1.5830790509306691,-0.8937646474572847,-156.49141980213147,0.0,0.92,0.3240362760642748,0.7111610944150069,0.8552796055718922,0.9721088281928245,14.223221888300138
3,9,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,cand_002_AVAX_USDT__4h_ema20_dist0.008,short_cand_076_ETH_USDT__4h_ema15_dist0.000,2,4,2,4,secondary,alternate_base,AVAX/USDT + ETH/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,20,0.008,Very close to the leader with slightly more trades and nearly identical risk profile.,ETH/USDT,short,75,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,15,0.0,Short candidate with especially strong trailing-drawdown control for the short side.,13,9,2.483603380559999,0.6146788990825688,270.7127684810399,1.7807609617739537,4.309610784939308,True,60.949699381426136,79.6097432697745,baseline,1,10,201,138,0.5472636815920398,1.0736572242300388,215.8051020702378,0.04316102041404756,5215.805102070238,5238.5562459421535,123.49247319697315,2.440516569740005,False,5.319787425085199,True,4,0,156,0,0,1,9,13,99,102,68,70,86.11582780158056,129.68927426865724,2023-06-16 00:00,2026-03-31 08:00,34,1,10,67,71,0,0.4855072463768116,1.563805087465491,13.514187383068782,-9.713316233737611,1.312921808239422,10.814009661835748,8.0,18.01887018847082,-10.000000000000004,4,6,1.0,0.01525082084343432,0.7793380146469409,0.9505257582886114,0.6249013439420751,33,21,12,0.6363636363636364,1.3098204982002981,-0.6656569834501247,-139.2187075059573,0.0,0.96,0.18649447675333164,0.7340106287457401,0.8380757658248608,0.5594834302599949,14.680212574914801
4,10,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,cand_002_AVAX_USDT__4h_ema20_dist0.008,short_cand_067_DOGE_USDT__4h_ema20_dist0.004,2,5,2,5,secondary,reserve,AVAX/USDT + DOGE/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,20,0.008,Very close to the leader with slightly more trades and nearly identical risk profile.,DOGE/USDT,short,70,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,20,0.004,Short candidate with especially strong trailing-drawdown control for the short side.,22,10,1.9362242401127951,0.5945945945945946,214.92089065252023,1.960075113109616,5.428353954446012,True,17.76139844802209,73.1747323062964,baseline,1,10,196,133,0.5459183673469388,0.8858919438957762,173.63482100357214,0.03472696420071443,5173.634821003572,5200.6373951067835,106.67524802139178,2.105333328680344,False,6.611791699539695,True,4,0,83,0,0,1,11,20,102,94,70,63,83.81304127011558,89.82177973345442,2023-06-11 00:00,2026-03-31 08:00,34,1,10,64,69,0,0.48120300751879697,1.3055249699516542,13.28942152365364,-9.809973282757436,1.2565192186235825,10.216791979949875,7.0,18.01887018847082,-10.000000000000004,7,8,1.0,0.01224251719633207,0.6910080050464102,0.7590246896697894,0.5815001847714951,33,17,16,0.5151515151515151,1.4145955725236137,-0.9685806153213794,-181.38898857262296,0.0,0.8,0.2982222237732186,0.6694104150230153,0.845144895819435,0.8946666713196558,13.388208300460306
5,15,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,cand_002_AVAX_USDT__4h_ema15_dist0.000,short_cand_067_DOGE_USDT__4h_ema20_dist0.004,3,5,3,5,throughput_variant,reserve,AVAX/USDT + DOGE/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.0,Keeps the same strong AVAX base while allowing more trades at only a modest quality drop.,DOGE/USDT,short,70,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,20,0.004,Short candidate with especially strong trailing-drawdown control for the short side.,23,15,1.8132555349326749,0.5877192982456141,206.71113098232493,2.010235833136647,5.643946995609174,True,6.658094906612326,72.60998928909997,baseline,1,10,214,145,0.5420560747663551,0.9198157911678846,196.8405793099273,0.039368115861985464,5196.840579309927,5244.999069036408,129.80031932099337,2.5573011026858348,False,5.8264285125096436,True,4,0,88,0,0,2,12,14,119,95,82,63,82.75692512465457,114.08365418526964,2023-06-11 00:00,2026-03-31 08:00,34,1,10,70,75,0,0.4827586206896552,1.3575212366201668,13.321565912680583,-9.80892046103622,1.2675667590425541,10.033333333333333,7.0,17.999319397509726,-10.000000000000004,6,9,1.0,0.013858555856669508,0.7407654270421247,0.8655719176018033,0.5419211622016039,33,19,14,0.5757575757575758,1.5794404412621255,-0.941018340862021,-158.1832302662678,0.0,0.84,0.14756629910472174,0.7086785743745179,0.8284367310218859,0.44269889731416523,14.173571487490356
6,19,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,cand_008_AVAX_USDT__4h_ema15_dist0.008,short_cand_076_ETH_USDT__4h_ema15_dist0.000,4,4,4,4,alternate_base,alternate_base,AVAX/USDT + ETH/USDT,AVAX/USDT,long,30,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,"Best non-cand_002 AVAX branch, useful as an alternate daily base rather than another threshold clone.",ETH/USDT,short,75,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,15,0.0,Short candidate with especially strong trailing-drawdown control for the short side.,20,19,2.35868630979165,0.6074766355140186,252.37943514770657,1.9685107833712845,4.622669299437446,True,44.64126111065328,72.45187561215849,baseline,1,10,198,137,0.5454545454545454,0.9276903846571442,183.68269616211455,0.03673653923242291,5183.682696162115,5225.475335365533,145.898160788498,2.858818548214501,False,6.243797525152101,True,4,0,160,0,0,1,9,17,105,93,72,65,93.96889072168037,89.71380544043716,2023-06-16 00:00,2026-03-31 08:00,34,1,10,65,72,0,0.4744525547445255,1.340749607022756,13.740066110536064,-9.853077791982313,1.2589189501663247,11.200729927007298,8.0,17.999319397509726,-10.000000000000004,4,8,1.0,0.013006736874195957,0.6803143536302656,0.8146142196158925,0.4549689550013386,33,20,13,0.6060606060606061,0.8068869602023465,-0.6028887780687553,-171.34111341408055,0.0,0.88,0.0470604839284996,0.687810123742395,0.8102305911506342,0.1411814517854988,13.7562024748479
7,14,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,cand_002_AVAX_USDT__4h_ema15_dist0.000,short_cand_076_ETH_USDT__4h_ema15_dist0.000,3,4,3,4,throughput_variant,alternate_base,AVAX/USDT + ETH/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.0,Keeps the same strong AVAX base while allowing more trades at only a modest quality drop.,ETH/USDT,short,75,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,15,0.0,Short candidate with especially strong trailing-drawdown control for the short side.,8,14,2.604018935264624,0.6216216216216216,289.04610181437323,1.7745940637874422,4.036265008742122,True,71.03160554883571,66.42797766075167,baseline,1,10,218,149,0.536697247706422,0.8418550297011913,183.5243964748597,0.036704879294971945,5183.52439647486,5224.936443406165,144.22363866205433,2.8621015921679787,False,6.249183137171534,True,4,0,161,0,0,0,9,18,117,101,81,68,40.62111071652399,142.9032857583342,2023-06-16 00:00,2026-03-31 08:00,34,1,10,72,77,0,0.48322147651006714,1.2317073588916654,13.131987086152666,-9.895826931534206,1.2408524054576595,10.554809843400449,7.833333333333333,17.999319397509726,-10.000000000000004,5,6,1.0,0.01299565592618479,0.6707413535679054,0.8231343942934995,0.45405991044297167,33,20,13,0.6060606060606061,1.2292392748600056,-0.7440034789763295,-171.4994131013354,0.0,0.76,0.045966135944007114,0.6875408431414233,0.8100260468628145,0.13789840783202134,13.750816862828465
8,7,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,cand_002_AVAX_USDT__4h_ema20_dist0.008,short_cand_082_ETH_USDT__4h_ema20_dist0.000,2,2,2,2,secondary,secondary,AVAX/USDT + ETH/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,20,0.008,Very close to the leader with slightly more trades and nearly identical risk profile.,ETH/USDT,short,75,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,20,0.0,Closest clean alternate to the primary short candidate with a very similar edge profile.,15,7,2.3730023509131546,0.6140350877192983,270.5222680040996,1.7926539451192436,4.312645592077423,True,56.44766105454383,65.03255671361254,baseline,1,10,203,140,0.5467980295566502,0.8375188506048343,170.01632667278136,0.03400326533455627,5170.016326672781,5197.218507031158,138.2435287121143,2.732307713245224,False,6.752511895354772,True,4,0,152,0,0,1,19,18,96,107,66,74,76.35527467536228,93.6610519974225,2023-06-16 00:00,2026-03-31 08:00,34,1,10,66,74,0,0.4714285714285714,1.214402333377034,13.47220950031866,-9.718236491192526,1.236413049846318,10.667857142857143,8.0,18.01887018847082,-10.000000000000004,6,6,1.0,0.012049292467653627,0.664198031671627,0.7592702244616548,0.44099324571837517,33,19,14,0.5757575757575758,1.3223170839166354,-0.7078131898846318,-185.00748290341375,0.0,0.72,0.08923076225159206,0.6623744052322614,0.812740775122578,0.2676922867547762,13.247488104645228
9,22,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_082_ETH_USDT__4h_ema20_dist0.000,cand_028_ETH_USDT__4h_ema15_dist0.000,short_cand_082_ETH_USDT__4h_ema20_dist0.000,19,2,5,2,diversifier,secondary,ETH/USDT + ETH/USDT,ETH/USDT,long,30,20,0.236,0.436,0.005,0.053,25,True,close_above_ema,15,0.0,Best ETH-based survivor and the cleanest way to keep some source-family diversification in the final set.,ETH/USDT,short,75,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,20,0.0,Closest clean alternate to the primary short candidate with a very similar edge profile.,17,22,2.2706863577044984,0.6017699115044248,256.58755842060833,1.665975512154574,4.546855949867303,True,48.36879763025011,34.0,baseline,1,10,53,39,0.5094339622641509,-0.22623111532073997,-11.99024911199922,-0.0023980498223998437,4988.009750888001,5119.710105424154,158.3652394097353,3.0932462219287156,True,999.0,False,4,0,69,0,0,2,4,5,26,27,19,20,33.88130448430948,-45.87155359630775,2023-06-16 00:00,2026-03-31 08:00,34,1,10,17,22,0,0.4358974358974359,-0.30744228492303277,12.213462502565381,-9.982686893436808,0.9454043456345435,10.683760683760685,5.166666666666667,17.747518054417682,-14.108031286409283,6,7,1.0,-0.0008596296768528244,-0.07801765241105468,-0.048756982792390845,-0.027790535094125938,33,4,6,0.12121212121212122,1.0816275383725982,-0.8476354225412375,-367.0140586881943,0.0,0.68,0.0,0.0,0.0,-0.09324622192871557,-979.0
10,24,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,cand_028_ETH_USDT__4h_ema15_dist0.000,short_cand_076_ETH_USDT__4h_ema15_dist0.000,19,4,5,4,diversifier,alternate_base,ETH/USDT + ETH/USDT,ETH/USDT,long,30,20,0.236,0.436,0.005,0.053,25,True,close_above_ema,15,0.0,Best ETH-based survivor and the cleanest way to keep some source-family diversification in the final set.,ETH/USDT,short,75,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,15,0.0,Short candidate with especially strong trailing-drawdown control for the short side.,18,24,2.3701798894132367,0.6018518518518519,255.9794280566296,1.815990277498486,4.557657916200083,True,47.039695090795576,32.0,baseline,1,10,73,52,0.4520547945205479,-0.2785397006639258,-20.333398148466586,-0.004066679629693317,4979.666601851533,5131.250382680144,161.45082636612187,3.1464226908723405,True,999.0,False,4,0,89,0,0,2,3,5,38,35,27,25,9.620311822079927,-29.953709970544377,2023-06-16 00:00,2026-03-31 08:00,34,1,10,21,31,0,0.40384615384615385,-0.39102688747047026,12.719558958945745,-9.272391493107262,0.929261391757144,11.368589743589743,7.333333333333334,17.747518054417682,-10.478727069017669,6,7,1.0,-0.0014585666949669118,-0.10866680086804,-0.08103015788109423,-0.04635634936139259,33,6,7,0.18181818181818182,1.0684893391834427,-0.841215210308488,-375.3572077246617,0.0,0.64,0.0,0.0,0.0,-0.1464226908723405,-979.0
11,21,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema20_dist0.000,cand_028_ETH_USDT__4h_ema15_dist0.000,short_cand_088_ETH_USDT__4h_ema20_dist0.000,19,1,5,1,diversifier,primary,ETH/USDT + ETH/USDT,ETH/USDT,long,30,20,0.236,0.436,0.005,0.053,25,True,close_above_ema,15,0.0,Best ETH-based survivor and the cleanest way to keep some source-family diversification in the final set.,ETH/USDT,short,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,20,0.0,"Best overall short candidate after deduplication, balancing expectancy, drawdown control, and consistency.",9,21,2.579622082372245,0.6134453781512605,306.9750278022972,1.6590867594216163,3.80052630019808,True,70.78927973953478,30.0,baseline,1,10,52,38,0.46153846153846156,-0.33899127860363126,-17.627546487388827,-0.0035255092974777655,4982.372453512611,5131.250382680144,154.8811547066398,3.018390122404095,True,999.0,False,4,0,76,0,0,0,1,4,23,29,16,22,32.06111800380543,-49.68866449119351,2023-06-16 00:00,2026-03-31 08:00,34,1,10,14,24,0,0.3684210526315789,-0.4638828022996868,14.321746082780663,-9.088832985263222,0.9191886235744382,11.017543859649123,5.666666666666666,17.747518054417682,-10.000000000000002,6,7,1.0,-0.001264248809938029,-0.11651286725437549,-0.07320709251094344,-0.04188487102956316,33,4,6,0.12121212121212122,1.0684893391834427,-0.8632243625739888,-372.65135606358393,0.0,0.6,0.0,0.0,0.0,-0.01839012240409499,-979.0
