symbol,sma,ema,fib_min,fib_max,rw,eb,total_return,sharpe,total_trades,win_rate,expectancy
BTC/USDT,30,12,0.5,0.618,0.01,0.005,-0.04061222264466178,,15,0.0,-35.93808186848958
BTC/USDT,30,12,0.5,0.618,0.01,0.01,-0.0020534702182147158,,17,0.058823529411764705,-8.60054375143612
BTC/USDT,30,12,0.5,0.618,0.01,0.015,-0.0020534702182147158,,17,0.058823529411764705,-8.60054375143612
BTC/USDT,30,12,0.5,0.618,0.02,0.005,-0.006235046979143226,,3,0.0,-24.166727701822918
BTC/USDT,30,12,0.5,0.618,0.02,0.01,-0.0152888159958904,,4,0.0,-40.92301940917969
BTC/USDT,30,12,0.5,0.618,0.02,0.015,-0.0152888159958904,,4,0.0,-40.92301940917969
BTC/USDT,30,12,0.5,0.618,0.03,0.005,0.0,,1,0.0,-10.0
BTC/USDT,30,12,0.5,0.618,0.03,0.01,0.0,,1,0.0,-10.0
BTC/USDT,30,12,0.5,0.618,0.03,0.015,0.0,,1,0.0,-10.0
BTC/USDT,30,12,0.5,0.7,0.01,0.005,-0.03840282357599481,,16,0.0625,-32.25086975097656
BTC/USDT,30,12,0.5,0.7,0.01,0.01,-0.022472409546761263,,20,0.1,-17.575833129882813
BTC/USDT,30,12,0.5,0.7,0.01,0.015,-0.022472409546761263,,20,0.1,-17.575833129882813
BTC/USDT,30,12,0.5,0.7,0.02,0.005,-0.0023505734125101297,,4,0.25,-8.34190559387207
BTC/USDT,30,12,0.5,0.7,0.02,0.01,-0.017574385525505932,,6,0.16666666666666666,-31.11217498779297
BTC/USDT,30,12,0.5,0.7,0.02,0.015,-0.017574385525505932,,6,0.16666666666666666,-31.11217498779297
BTC/USDT,30,12,0.5,0.7,0.03,0.005,0.0,,1,0.0,-10.0
BTC/USDT,30,12,0.5,0.7,0.03,0.01,-0.006205644220957219,,2,0.0,-36.0567626953125
BTC/USDT,30,12,0.5,0.7,0.03,0.015,-0.006205644220957219,,2,0.0,-36.0567626953125
BTC/USDT,30,12,0.5,0.786,0.01,0.005,-0.03840282357599481,,16,0.0625,-32.25086975097656
BTC/USDT,30,12,0.5,0.786,0.01,0.01,-0.022472409546761263,,20,0.1,-17.575833129882813
BTC/USDT,30,12,0.5,0.786,0.01,0.015,-0.022472409546761263,,20,0.1,-17.575833129882813
BTC/USDT,30,12,0.5,0.786,0.02,0.005,-0.0023505734125101297,,4,0.25,-8.34190559387207
BTC/USDT,30,12,0.5,0.786,0.02,0.01,-0.017574385525505932,,6,0.16666666666666666,-31.11217498779297
BTC/USDT,30,12,0.5,0.786,0.02,0.015,-0.017574385525505932,,6,0.16666666666666666,-31.11217498779297
BTC/USDT,30,12,0.5,0.786,0.03,0.005,0.0,,1,0.0,-10.0
BTC/USDT,30,12,0.5,0.786,0.03,0.01,-0.006205644220957219,,2,0.0,-36.0567626953125
BTC/USDT,30,12,0.5,0.786,0.03,0.015,-0.006205644220957219,,2,0.0,-36.0567626953125
BTC/USDT,30,12,0.55,0.618,0.01,0.005,-0.008065207003967225,,5,0.0,-22.174423217773438
BTC/USDT,30,12,0.55,0.618,0.01,0.01,0.03180164246929617,,6,0.16666666666666666,48.66497294108073
BTC/USDT,30,12,0.55,0.618,0.01,0.015,0.03180164246929617,,6,0.16666666666666666,48.66497294108073
BTC/USDT,30,12,0.55,0.618,0.02,0.005,0.0,,1,0.0,-10.0
BTC/USDT,30,12,0.55,0.618,0.02,0.01,-0.009110573872851274,,2,0.0,-50.595947265625
BTC/USDT,30,12,0.55,0.618,0.02,0.015,-0.009110573872851274,,2,0.0,-50.595947265625
BTC/USDT,30,12,0.55,0.618,0.03,0.005,0.0,,1,0.0,-10.0
BTC/USDT,30,12,0.55,0.618,0.03,0.01,0.0,,1,0.0,-10.0
BTC/USDT,30,12,0.55,0.618,0.03,0.015,0.0,,1,0.0,-10.0
BTC/USDT,30,12,0.55,0.7,0.01,0.005,-0.005780854566347625,,6,0.16666666666666666,-14.63580322265625
BTC/USDT,30,12,0.55,0.7,0.01,0.01,0.010689995193682626,,9,0.2222222222222222,9.63138156467014
BTC/USDT,30,12,0.55,0.7,0.01,0.015,0.010689995193682626,,9,0.2222222222222222,9.63138156467014
BTC/USDT,30,12,0.55,0.7,0.02,0.005,0.003908845401344479,,2,0.5,14.566282272338867
BTC/USDT,30,12,0.55,0.7,0.02,0.01,-0.011410483446707986,,4,0.25,-31.043214797973633
BTC/USDT,30,12,0.55,0.7,0.02,0.015,-0.011410483446707986,,4,0.25,-31.043214797973633
BTC/USDT,30,12,0.55,0.7,0.03,0.005,0.0,,1,0.0,-10.0
BTC/USDT,30,12,0.55,0.7,0.03,0.01,-0.006205644220957219,,2,0.0,-36.0567626953125
BTC/USDT,30,12,0.55,0.7,0.03,0.015,-0.006205644220957219,,2,0.0,-36.0567626953125
BTC/USDT,30,12,0.55,0.786,0.01,0.005,-0.005780854566347625,,6,0.16666666666666666,-14.63580322265625
BTC/USDT,30,12,0.55,0.786,0.01,0.01,0.010689995193682626,,9,0.2222222222222222,9.63138156467014
BTC/USDT,30,12,0.55,0.786,0.01,0.015,0.010689995193682626,,9,0.2222222222222222,9.63138156467014
BTC/USDT,30,12,0.55,0.786,0.02,0.005,0.003908845401344479,,2,0.5,14.566282272338867
BTC/USDT,30,12,0.55,0.786,0.02,0.01,-0.011410483446707986,,4,0.25,-31.043214797973633
BTC/USDT,30,12,0.55,0.786,0.02,0.015,-0.011410483446707986,,4,0.25,-31.043214797973633
BTC/USDT,30,12,0.55,0.786,0.03,0.005,0.0,,1,0.0,-10.0
BTC/USDT,30,12,0.55,0.786,0.03,0.01,-0.006205644220957219,,2,0.0,-36.0567626953125
BTC/USDT,30,12,0.55,0.786,0.03,0.015,-0.006205644220957219,,2,0.0,-36.0567626953125
BTC/USDT,30,12,0.618,0.618,0.01,0.005,0.0,,0,0.0,0.0
BTC/USDT,30,12,0.618,0.618,0.01,0.01,0.0,,0,0.0,0.0
BTC/USDT,30,12,0.618,0.618,0.01,0.015,0.0,,0,0.0,0.0
BTC/USDT,30,12,0.618,0.618,0.02,0.005,0.0,,0,0.0,0.0
BTC/USDT,30,12,0.618,0.618,0.02,0.01,0.0,,0,0.0,0.0
BTC/USDT,30,12,0.618,0.618,0.02,0.015,0.0,,0,0.0,0.0
BTC/USDT,30,12,0.618,0.618,0.03,0.005,0.0,,0,0.0,0.0
BTC/USDT,30,12,0.618,0.618,0.03,0.01,0.0,,0,0.0,0.0
BTC/USDT,30,12,0.618,0.618,0.03,0.015,0.0,,0,0.0,0.0
BTC/USDT,30,12,0.618,0.7,0.01,0.005,0.0023029260126260854,,1,1.0,23.057302474975586
BTC/USDT,30,12,0.618,0.7,0.01,0.01,-0.02046095529087288,,3,0.3333333333333333,-68.43581136067708
BTC/USDT,30,12,0.618,0.7,0.01,0.015,-0.02046095529087288,,3,0.3333333333333333,-68.43581136067708
BTC/USDT,30,12,0.618,0.7,0.02,0.005,0.003908845401344479,,1,1.0,39.132564544677734
BTC/USDT,30,12,0.618,0.7,0.02,0.01,-0.0023210557234884617,,2,0.5,-11.490482330322266
BTC/USDT,30,12,0.618,0.7,0.02,0.015,-0.0023210557234884617,,2,0.5,-11.490482330322266
BTC/USDT,30,12,0.618,0.7,0.03,0.005,0.0,,0,0.0,0.0
BTC/USDT,30,12,0.618,0.7,0.03,0.01,-0.006205644220957219,,1,0.0,-62.113529205322266
BTC/USDT,30,12,0.618,0.7,0.03,0.015,-0.006205644220957219,,1,0.0,-62.113529205322266
BTC/USDT,30,12,0.618,0.786,0.01,0.005,0.0023029260126260854,,1,1.0,23.057302474975586
BTC/USDT,30,12,0.618,0.786,0.01,0.01,-0.02046095529087288,,3,0.3333333333333333,-68.43581136067708
BTC/USDT,30,12,0.618,0.786,0.01,0.015,-0.02046095529087288,,3,0.3333333333333333,-68.43581136067708
BTC/USDT,30,12,0.618,0.786,0.02,0.005,0.003908845401344479,,1,1.0,39.132564544677734
BTC/USDT,30,12,0.618,0.786,0.02,0.01,-0.0023210557234884617,,2,0.5,-11.490482330322266
BTC/USDT,30,12,0.618,0.786,0.02,0.015,-0.0023210557234884617,,2,0.5,-11.490482330322266
BTC/USDT,30,12,0.618,0.786,0.03,0.005,0.0,,0,0.0,0.0
BTC/USDT,30,12,0.618,0.786,0.03,0.01,-0.006205644220957219,,1,0.0,-62.113529205322266
BTC/USDT,30,12,0.618,0.786,0.03,0.015,-0.006205644220957219,,1,0.0,-62.113529205322266
BTC/USDT,30,15,0.5,0.618,0.01,0.005,-0.003943228504882791,,16,0.0625,-9.125914573669434
BTC/USDT,30,15,0.5,0.618,0.01,0.01,-0.005105872620576338,,17,0.058823529411764705,-9.861043593462776
BTC/USDT,30,15,0.5,0.618,0.01,0.015,-0.005105872620576338,,17,0.058823529411764705,-9.861043593462776
BTC/USDT,30,15,0.5,0.618,0.02,0.005,-0.006235046979143226,,3,0.0,-24.166727701822918
BTC/USDT,30,15,0.5,0.618,0.02,0.01,-0.0152888159958904,,4,0.0,-40.92301940917969
BTC/USDT,30,15,0.5,0.618,0.02,0.015,-0.0152888159958904,,4,0.0,-40.92301940917969
BTC/USDT,30,15,0.5,0.618,0.03,0.005,0.0,,1,0.0,-10.0
BTC/USDT,30,15,0.5,0.618,0.03,0.01,0.0,,1,0.0,-10.0
BTC/USDT,30,15,0.5,0.618,0.03,0.015,0.0,,1,0.0,-10.0
BTC/USDT,30,15,0.5,0.7,0.01,0.005,-0.007844792189801046,,18,0.1111111111111111,-10.281717088487413
BTC/USDT,30,15,0.5,0.7,0.01,0.01,-0.02546235688003835,,20,0.1,-18.64726104736328
BTC/USDT,30,15,0.5,0.7,0.01,0.015,-0.02546235688003835,,20,0.1,-18.64726104736328
BTC/USDT,30,15,0.5,0.7,0.02,0.005,-0.00854163081115421,,5,0.2,-19.096231079101564
BTC/USDT,30,15,0.5,0.7,0.02,0.01,-0.017574385525505932,,6,0.16666666666666666,-31.11217498779297
BTC/USDT,30,15,0.5,0.7,0.02,0.015,-0.017574385525505932,,6,0.16666666666666666,-31.11217498779297
BTC/USDT,30,15,0.5,0.7,0.03,0.005,-0.006205644220957219,,2,0.0,-36.0567626953125
BTC/USDT,30,15,0.5,0.7,0.03,0.01,-0.006205644220957219,,2,0.0,-36.0567626953125
BTC/USDT,30,15,0.5,0.7,0.03,0.015,-0.006205644220957219,,2,0.0,-36.0567626953125
BTC/USDT,30,15,0.5,0.786,0.01,0.005,-0.007844792189801046,,18,0.1111111111111111,-10.281717088487413
